 z u v w u_mag
9.240000000000000000e+02 1.726786332116521550e+01 8.530831042041297607e+00 1.631148597621948082e-02 1.926017777723957281e+01
9.300000000000000000e+02 1.722138255657098327e+01 8.619773617909103791e+00 -1.655473943459431080e-02 1.925816160600919957e+01
9.360000000000000000e+02 1.726912160189432655e+01 8.526556579229534805e+00 1.678792974366787732e-02 1.925941353817402302e+01
9.420000000000000000e+02 1.722017125131192827e+01 8.622422216631500547e+00 -1.701284862521927968e-02 1.925826451795147065e+01
9.480000000000000000e+02 1.727146380550156124e+01 8.522448043120446570e+00 1.722471354472756080e-02 1.925969572249766060e+01
9.540000000000000000e+02 1.721766437810828876e+01 8.625595074242857763e+00 -1.742546356307315622e-02 1.925744429224091192e+01
9.600000000000000000e+02 1.727547126836651969e+01 8.518362737677573904e+00 1.761022753656967671e-02 1.926148284517380560e+01
9.660000000000000000e+02 1.721295681797978006e+01 8.628419272781755467e+00 -1.777950464206688383e-02 1.925450123153891369e+01
9.720000000000000000e+02 1.728086131166983819e+01 8.515726202812926360e+00 1.792977199463062846e-02 1.926515200851438436e+01
9.780000000000000000e+02 1.720724905236174962e+01 8.630139824561856798e+00 -1.805908719659673686e-02 1.925017037514534124e+01
9.840000000000000000e+02 1.728493685888334142e+01 8.513356102053478480e+00 1.816616057416951119e-02 1.926776075067741445e+01
9.900000000000000000e+02 1.720256974656649263e+01 8.632574672739814048e+00 -1.824914827688550040e-02 1.924707989273506570e+01
9.960000000000000000e+02 1.728779266030696604e+01 8.510632408742946353e+00 1.830800352710654916e-02 1.926911970603489266e+01
1.002000000000000000e+03 1.719914163758104664e+01 8.636439190224843188e+00 -1.834257148377101132e-02 1.924574995696333701e+01
1.008000000000000000e+03 1.728996148424265300e+01 8.507956025813317780e+00 1.835332610271945761e-02 1.926988377516445894e+01
1.014000000000000000e+03 1.719628150231277175e+01 8.641134688070696512e+00 -1.834178966428621702e-02 1.924530183253593663e+01
1.020000000000000000e+03 1.729213317006152195e+01 8.505886117760146803e+00 1.830752449034867349e-02 1.927091859214032610e+01
1.026000000000000000e+03 1.719296728915389494e+01 8.645503621341209310e+00 -1.825535603250108552e-02 1.924430280188304820e+01
1.032000000000000000e+03 1.729454696332893349e+01 8.504823073981921056e+00 1.817990018573730632e-02 1.927261530502012832e+01
